title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 6.9 - 36 km NW of Labuan Lombok, Indonesia",6.9,5/8/2018 11:46,9,8,orange,0,1704,us,0,2.271,15,mww,34,-8.2581,116.438,"Labuan Lombok, Indonesia",,Indonesia
"M 6.9 - 18 km SSW of Leilani Estates, Hawaii",6.9,4/5/2018 22:32,7,8,yellow,1,1392,hv,63,0.11,210,mw,5.81,19.3182,-155,"Leilani Estates, Hawaii",,United States of America
"M 6.8 - 38 km SE of Boyuibe, Bolivia",6.8,2/4/2018 13:40,5,3,green,0,733,us,0,5.32,16,mww,559,-20.6588,-63.0058,"Boyuibe, Bolivia",South America,Bolivia
"M 6.9 - 150 km E of Kimbe, Papua New Guinea",6.9,29/3/2018 21:25,9,6,green,1,741,us,0,1.487,18,mww,35,-5.5321,151.5,"Kimbe, Papua New Guinea",,Papua New Guinea
"M 6.7 - 140 km E of Kimbe, Papua New Guinea",6.7,26/3/2018 9:51,5,6,green,1,696,us,0,1.507,15,mww,40,-5.5024,151.402,"Kimbe, Papua New Guinea",,Papua New Guinea
"M 6.8 - 103 km E of Kokopo, Papua New Guinea",6.8,8/3/2018 17:39,6,6,green,1,719,us,0,1.049,16,mww,22.86,-4.3762,153.2,"Kokopo, Papua New Guinea",,Papua New Guinea
"M 6.7 - 62 km SW of Tari, Papua New Guinea",6.7,6/3/2018 14:13,8,7,green,1,697,us,0,5.457,19,mww,20.49,-6.3043,142.612,"Tari, Papua New Guinea",,Papua New Guinea
"M 7.5 - 32 km SW of Tari, Papua New Guinea",7.5,25/2/2018 17:44,9,8,yellow,1,943,us,0,5.48,17,mww,25.21,-6.0699,142.754,"Tari, Papua New Guinea",,Papua New Guinea
"M 7.2 - 4 km S of Pinotepa de Don Luis, Mexico",7.2,16/2/2018 23:39,7,7,yellow,1,1384,us,0,0.142,82,mww,22,16.3855,-97.9787,"Pinotepa de Don Luis, Mexico",North America,Mexico
"M 7.1 - 37 km W of Atiquipa, Peru",7.1,14/1/2018 9:18,9,7,green,1,1075,us,0,4.29,23,mww,39,-15.7675,-74.7092,"Atiquipa, Peru",,Peru
"M 6.5 - 12 km SSW of Kawalu, Indonesia",6.5,15/12/2017 16:47,8,7,green,0,998,us,0,2.365,28,mww,90,-7.4921,108.174,"Kawalu, Indonesia",,Indonesia
"M 6.5 - 18 km W of Parrita, Costa Rica",6.5,13/11/2017 2:28,8,8,yellow,1,1153,us,0,0.225,37,mww,19.36,9.5147,-84.4865,"Parrita, Costa Rica",,Costa Rica
"M 7.3 - 29 km S of ?alabja, Iraq",7.3,12/11/2017 18:18,8,9,red,0,2790,us,0,0.284,33,mww,19,34.9109,45.9592,"?alabja, Iraq",Asia,Iran
"M 6.5 - 67 km WSW of Angoram, Papua New Guinea",6.5,7/11/2017 21:26,6,5,green,1,661,us,0,4.449,10,mww,110.57,-4.2433,143.485,"Angoram, Papua New Guinea",,Papua New Guinea
"M 6.7 - 181 km NNE of Maumere, Indonesia",6.7,24/10/2017 10:47,3,3,green,0,694,us,0,1.634,16,mww,553.81,-7.2168,123.074,"Maumere, Indonesia",,Indonesia
"M 7.1 - 1 km S of Matzaco, Mexico",7.1,19/9/2017 18:14,9,8,,0,1686,us,0,0.984,23,mww,48,18.5499,-98.4887,"Matzaco, Mexico",North America,Mexico
"M 6.5 - 168 km SW of Mawu, China",6.5,8/8/2017 13:19,5,7,yellow,0,707,us,0,11.411,22,mww,9,33.1926,103.855,"Mawu, China",Asia,People's Republic of China
"M 6.6 - 11 km ENE of Kos, Greece",6.6,20/7/2017 22:31,7,7,yellow,0,1064,us,0,0.913,16,mww,7,36.9293,27.4139,"Kos, Greece",Asia,Turkey
"M 6.5 - 2 km S of Lim-oo, Philippines",6.5,6/7/2017 8:03,9,8,yellow,1,740,us,0,4.139,30,mww,9,11.1269,124.629,"Lim-oo, Philippines",,Philippines
